Geography,Timeframe,Week,Type,Average_Price,Total_Bulk_and_Bags_Units,4046_Units,4225_Units,4770_Units,TotalBagged_Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units
Los Angeles,Weekly,1/9/23 0:00,Organic,1.190723426,295384.11,202444.23,4716.9,3655.93,84567.04,,,
Louisville,Weekly,1/9/23 0:00,Organic,1.59631089,8194.83,2170.19,1737.92,0,4286.73,,,
Miami/Ft. Lauderdale,Weekly,1/9/23 0:00,Organic,1.109138674,71983.44,4063.83,766.89,0,67152.72,,,
Nashville,Weekly,1/9/23 0:00,Organic,1.178833514,31689,9147.41,5711.27,0,16830.33,,,
Northern New England,Weekly,1/9/23 0:00,Organic,1.851939312,15780.35,2262.35,290.78,0,13227.22,,,
New Orleans/Mobile,Weekly,1/9/23 0:00,Organic,1.105107763,7325.02,397.84,152.28,0,6774.9,,,
New York,Weekly,1/9/23 0:00,Organic,1.518152225,131844.2,7433.84,18010.3,92.26,106307.8,,,
Orlando,Weekly,1/9/23 0:00,Organic,0.862602404,75745.59,1009.46,659.32,0,74076.81,,,
Peoria/Springfield,Weekly,1/9/23 0:00,Organic,1.196768337,8409.65,624.4,1038.67,0,6746.58,,,
Philadelphia,Weekly,1/9/23 0:00,Organic,1.348856108,43198.78,1594.58,3538.66,0,38065.55,,,
Phoenix/Tucson,Weekly,1/9/23 0:00,Organic,1.206658104,35797.43,7751.32,7332.14,0,20713.97,,,
Pittsburgh,Weekly,1/9/23 0:00,Organic,1.160658427,18947.79,2439.4,1,0,16507.4,,,
Portland,Weekly,1/9/23 0:00,Organic,1.764901711,88833.51,312.47,74528.07,1.26,13991.71,,,
Providence,Weekly,1/9/23 0:00,Organic,1.342081756,7458.34,42.86,9.66,0,7405.81,,,
Raleigh/Greensboro,Weekly,1/9/23 0:00,Organic,1.33154195,37521.13,673.05,2117.46,6.09,34724.52,,,
Richmond/Norfolk,Weekly,1/9/23 0:00,Organic,1.355216784,52438.12,16664.84,5639.12,1,30133.15,,,
Roanoke,Weekly,1/9/23 0:00,Organic,1.494025546,35371.95,16706.63,5946.19,0,12719.13,,,
Sacramento,Weekly,1/9/23 0:00,Organic,1.203044951,37485.22,5805.54,1394.23,0,30285.45,,,
San Diego,Weekly,1/9/23 0:00,Organic,1.439613279,42169.41,30888.54,1069.17,322.49,9889.21,,,
San Francisco,Weekly,1/9/23 0:00,Organic,1.99270904,69029.25,22145.57,3487.78,0,43395.89,,,
Seattle,Weekly,1/9/23 0:00,Organic,1.922337564,119905.35,1629.84,98871.7,23.76,19380.06,,,
South Carolina,Weekly,1/9/23 0:00,Organic,1.112161603,66357.48,612.95,14998.99,1.07,50744.48,,,
Spokane,Weekly,1/9/23 0:00,Organic,1.816842799,8994.34,69.76,6788.51,0,2136.07,,,
St. Louis,Weekly,1/9/23 0:00,Organic,1.207393105,26741.45,10326.92,3146.7,0,13267.84,,,
Syracuse,Weekly,1/9/23 0:00,Organic,1.432005318,8084.39,427.34,85.02,0,7572.03,,,
Tampa,Weekly,1/9/23 0:00,Organic,1.07442225,38213.61,833.44,399.92,0,36980.25,,,
Toledo,Weekly,1/9/23 0:00,Organic,1.441940376,4877.35,685.18,726.77,0,3465.39,,,
West Tex/New Mexico,Weekly,1/9/23 0:00,Organic,1.137258421,35348.72,5954.62,1649.18,0,27744.92,,,
Wichita,Weekly,1/9/23 0:00,Organic,1.119348305,4843.46,1630.96,5.82,0,3206.67,,,
California,Weekly,1/9/23 0:00,Organic,1.350250892,534780.29,299265.55,12742.84,4164.19,218607.71,,,
Great Lakes,Weekly,1/9/23 0:00,Organic,1.315547354,239999.55,19543.08,45552.24,0,174904.23,,,
Midsouth,Weekly,1/9/23 0:00,Organic,1.307300165,408225.45,57669.47,48922.32,49.02,301584.65,,,
Northeast,Weekly,1/9/23 0:00,Organic,1.458935647,359316.05,15541.84,22845.69,1,320927.51,,,
Plains,Weekly,1/9/23 0:00,Organic,1.131196786,109421.13,22651.98,4208.57,0,82560.58,,,
South Central,Weekly,1/9/23 0:00,Organic,1.139699928,201306.16,41369.59,5927.33,0,154009.24,,,
Southeast,Weekly,1/9/23 0:00,Organic,1.010321935,584029.51,10255.49,101903.37,2.23,471868.43,,,
West,Weekly,1/9/23 0:00,Organic,1.491966203,621969.03,197425.18,266447.6,30.25,158066.01,,,
Total U.S.,Weekly,1/9/23 0:00,Organic,1.296786336,3059047.17,663722.17,508549.96,4246.69,1882528.35,,,
Albany,Weekly,1/15/23 0:00,Conventional,1.015699894,136790.47,31685.79,77496.07,18.4,27590.22,,,
Atlanta,Weekly,1/15/23 0:00,Conventional,0.897892168,870587.25,618743.63,149829.63,183.79,101830.2,,,
Baltimore/Washington,Weekly,1/15/23 0:00,Conventional,1.114805421,1246714.37,365189.2,420377.74,1690.09,459457.33,,,
Birmingham/Montgomery,Weekly,1/15/23 0:00,Conventional,0.822296584,408289.56,272741.13,36255.61,43.77,99249.05,,,
Boise,Weekly,1/15/23 0:00,Conventional,1.058712579,106377.83,62498.83,23999.92,163.89,19715.19,,,
Boston,Weekly,1/15/23 0:00,Conventional,1.370914387,613808.74,61403.43,385750.73,118.49,166536.09,,,
Buffalo/Rochester,Weekly,1/15/23 0:00,Conventional,0.992303909,244926.2,60333.2,59315.26,1086.75,124190.99,,,
Charlotte,Weekly,1/15/23 0:00,Conventional,0.994172269,464411.92,192722.93,95659.74,1124.49,174904.77,,,
Chicago,Weekly,1/15/23 0:00,Conventional,0.912713556,1357538.31,773542.51,142925.47,141052.1,300018.23,,,
Cincinnati/Dayton,Weekly,1/15/23 0:00,Conventional,1.028836845,337035.39,99125.67,173668.06,15322.07,48919.58,,,
Columbus,Weekly,1/15/23 0:00,Conventional,0.965174037,294508.75,186337.97,41828.04,12518.39,53824.34,,,
Dallas/Ft. Worth,Weekly,1/15/23 0:00,Conventional,0.747045272,1657804.81,690451.71,319577.63,50606.87,597168.6,,,
Denver,Weekly,1/15/23 0:00,Conventional,1.021488076,826387.56,349745.66,201612.09,22202.28,252827.52,,,
Detroit,Weekly,1/15/23 0:00,Conventional,0.991243036,574300.1,261938.71,99581.09,90491.46,122288.85,,,
Grand Rapids,Weekly,1/15/23 0:00,Conventional,1.208937847,244636.54,46928.32,48544.27,89098.58,60065.37,,,
Harrisburg/Scranton,Weekly,1/15/23 0:00,Conventional,1.005108923,488625.42,194830.95,120015.24,22737.32,151041.91,,,
Hartford/Springfield,Weekly,1/15/23 0:00,Conventional,1.218720025,430293.62,60735.88,265032.53,1175.1,103350.11,,,
Houston,Weekly,1/15/23 0:00,Conventional,0.784905522,1139783.71,505563.44,333506.56,9503.34,291210.37,,,
Indianapolis,Weekly,1/15/23 0:00,Conventional,0.921966904,312328.4,173510.48,52450.76,22791.41,63575.75,,,
Jacksonville,Weekly,1/15/23 0:00,Conventional,0.908881198,295961.05,214430.19,7917.1,33.13,73580.63,,,
Las Vegas,Weekly,1/15/23 0:00,Conventional,0.968376107,424233.29,101583.47,171712.37,20978.25,129959.2,,,
Los Angeles,Weekly,1/15/23 0:00,Conventional,1.178724255,2936439.3,1576874.98,108677.61,585319.98,665566.73,,,
Louisville,Weekly,1/15/23 0:00,Conventional,0.933873341,159054.73,81172.74,38371.69,3983.26,35527.04,,,
Miami/Ft. Lauderdale,Weekly,1/15/23 0:00,Conventional,0.900858196,1290155.1,890385.75,50439.33,2215.4,347114.62,,,
Nashville,Weekly,1/15/23 0:00,Conventional,0.864139672,355652.24,220444.54,39779.13,100.67,95327.91,,,
Northern New England,Weekly,1/15/23 0:00,Conventional,1.0889166,497821.52,118394.56,287658.05,61.54,91707.37,,,
New Orleans/Mobile,Weekly,1/15/23 0:00,Conventional,0.766435563,355293.87,190445.33,6807.41,3078.15,154962.98,,,
New York,Weekly,1/15/23 0:00,Conventional,1.182971424,2485657.71,411152.31,1363839.66,22829.98,687835.76,,,
Orlando,Weekly,1/15/23 0:00,Conventional,0.86808127,753947.85,462109.51,11958.83,25.07,279854.45,,,
Peoria/Springfield,Weekly,1/15/23 0:00,Conventional,0.860798499,176714.42,101548.31,16122.83,11247.59,47795.69,,,
Philadelphia,Weekly,1/15/23 0:00,Conventional,1.025358281,783053.01,226004.29,276334.32,23918.41,256795.99,,,
Phoenix/Tucson,Weekly,1/15/23 0:00,Conventional,0.842940843,1338310.69,509882.44,623551.88,2942.63,201933.75,,,
Pittsburgh,Weekly,1/15/23 0:00,Conventional,1.133405839,188424.64,98847.52,17923.15,139.31,71514.67,,,
Portland,Weekly,1/15/23 0:00,Conventional,1.256400535,539545.98,275861.76,141232.29,30694.34,91757.59,,,
Providence,Weekly,1/15/23 0:00,Conventional,1.306728439,99462.03,15660.9,58126.11,32.33,25642.69,,,
Raleigh/Greensboro,Weekly,1/15/23 0:00,Conventional,1.000602579,519366.36,220927.66,103644.69,900.36,193893.66,,,
Richmond/Norfolk,Weekly,1/15/23 0:00,Conventional,0.959017866,360637.39,159486.14,91753.6,332.88,109064.78,,,
Roanoke,Weekly,1/15/23 0:00,Conventional,0.909132468,211008.07,117261.64,31571.43,794.25,61380.76,,,
Sacramento,Weekly,1/15/23 0:00,Conventional,1.540424115,393802.2,186727.95,108383.23,5243.21,93447.81,,,
San Diego,Weekly,1/15/23 0:00,Conventional,1.194815047,547394.37,313451.89,41379.28,69697.55,122865.64,,,
San Francisco,Weekly,1/15/23 0:00,Conventional,1.517473779,676226.59,421044.08,124306.95,7076.7,123798.86,,,
Seattle,Weekly,1/15/23 0:00,Conventional,1.50876251,449290.36,180810.54,167186.24,21493.12,79800.46,,,
South Carolina,Weekly,1/15/23 0:00,Conventional,0.92823014,638575.93,371782.6,89194.03,452.6,177146.7,,,
Spokane,Weekly,1/15/23 0:00,Conventional,1.230968018,72395.74,35137.36,22379.87,217.82,14660.7,,,
St. Louis,Weekly,1/15/23 0:00,Conventional,0.812089297,273650.53,171734.69,12119.27,17.27,89779.31,,,
Syracuse,Weekly,1/15/23 0:00,Conventional,0.958587829,111278.62,29150.05,37814.29,224.85,44089.42,,,
Tampa,Weekly,1/15/23 0:00,Conventional,0.853949478,798573.6,523262.65,17426.38,57.16,257827.41,,,
Toledo,Weekly,1/15/23 0:00,Conventional,0.974772931,162882.21,81817.74,31710.29,17759.69,31594.49,,,
West Tex/New Mexico,Weekly,1/15/23 0:00,Conventional,0.821986747,947766.47,414884.28,169683.13,4853.81,358345.25,,,
Wichita,Weekly,1/15/23 0:00,Conventional,0.802831731,124956.16,73699.76,16695.56,91.69,34469.15,,,
California,Weekly,1/15/23 0:00,Conventional,1.279417989,5734275.63,3139413.96,606770.22,745972.35,1242119.11,,,
Great Lakes,Weekly,1/15/23 0:00,Conventional,0.961375595,5340298.34,2539473.57,1050819.45,585143.42,1164861.9,,,
Midsouth,Weekly,1/15/23 0:00,Conventional,0.990233088,4889717.94,2166276.87,1147059.83,18582.09,1557799.15,,,
Northeast,Weekly,1/15/23 0:00,Conventional,1.134922892,6478575.76,1302102.39,3225033.87,51135.27,1900304.23,,,
Plains,Weekly,1/15/23 0:00,Conventional,0.902803156,2425003.6,1195325.89,425960.89,7123.02,796593.8,,,
South Central,Weekly,1/15/23 0:00,Conventional,0.764629841,6098019.16,2888030.72,976600.82,102684.35,2130703.28,,,
Southeast,Weekly,1/15/23 0:00,Conventional,0.880103884,6719241.5,4494382.23,447845.22,1381.27,1775632.78,,,
West,Weekly,1/15/23 0:00,Conventional,1.018870488,6557325.66,2772471.9,2206422.17,134977.45,1443454.13,,,
Total U.S.,Weekly,1/15/23 0:00,Conventional,0.997049874,44242457.58,20497477.52,10086512.47,1646999.23,12011468.37,,,
Albany,Weekly,1/15/23 0:00,Organic,1.69793753,4278.69,352.17,333.56,0,3592.95,,,
Atlanta,Weekly,1/15/23 0:00,Organic,1.163905318,118712.02,3407.23,56994.1,0,58310.69,,,
Baltimore/Washington,Weekly,1/15/23 0:00,Organic,1.352392175,71126.26,1440.56,6030.53,7.29,63647.88,,,
Birmingham/Montgomery,Weekly,1/15/23 0:00,Organic,1.023466699,22337.62,65.24,2329.63,0,19942.75,,,
Boise,Weekly,1/15/23 0:00,Organic,1.674481425,10211.01,178.01,7772.43,0,2260.57,,,
Boston,Weekly,1/15/23 0:00,Organic,1.700903657,35184.71,279.15,1721.81,0,33183.75,,,
Buffalo/Rochester,Weekly,1/15/23 0:00,Organic,1.510067279,15440.12,615.86,67.1,0,14757.15,,,
Charlotte,Weekly,1/15/23 0:00,Organic,1.330934077,25510.27,381.75,2298.79,27.86,22801.87,,,
Chicago,Weekly,1/15/23 0:00,Organic,1.368066149,77445.08,8847.83,32892.66,0,35704.59,,,
Cincinnati/Dayton,Weekly,1/15/23 0:00,Organic,1.411225241,17421.67,65.02,6886.53,0,10470.11,,,
Columbus,Weekly,1/15/23 0:00,Organic,1.642499194,12509.61,2243.37,2060.23,0,8206.01,,,
Dallas/Ft. Worth,Weekly,1/15/23 0:00,Organic,1.157535239,54576.88,14042.73,914.96,0,39619.19,,,
Denver,Weekly,1/15/23 0:00,Organic,1.063785555,160848.78,140451.03,938.51,0,19459.24,,,
Detroit,Weekly,1/15/23 0:00,Organic,1.430501272,21310.69,555.27,4642.27,0,16113.15,,,
Grand Rapids,Weekly,1/15/23 0:00,Organic,1.392237413,7385.88,149.17,654.06,0,6582.65,,,
Harrisburg/Scranton,Weekly,1/15/23 0:00,Organic,1.391437848,19071.51,411.57,477.53,0,18182.41,,,
Hartford/Springfield,Weekly,1/15/23 0:00,Organic,1.608736781,22294.75,669.11,3208.03,0,18417.61,,,
Houston,Weekly,1/15/23 0:00,Organic,0.981188177,35528.28,9941.78,361.08,0,25225.42,,,
Indianapolis,Weekly,1/15/23 0:00,Organic,1.371374245,12312.35,1446.53,2290.36,0,8575.45,,,
Jacksonville,Weekly,1/15/23 0:00,Organic,0.840001397,26753.96,206.39,337.39,0,26210.18,,,
Las Vegas,Weekly,1/15/23 0:00,Organic,1.254002297,16998.88,4345.42,2875.74,0,9777.72,,,
Los Angeles,Weekly,1/15/23 0:00,Organic,1.018326888,335878.85,244312.96,4609.48,3729.45,83226.96,,,
Louisville,Weekly,1/15/23 0:00,Organic,1.621533956,7574.25,1365,1611.54,0,4597.71,,,
Miami/Ft. Lauderdale,Weekly,1/15/23 0:00,Organic,1.148873217,59213.29,2921.56,713.13,0,55578.61,,,
Nashville,Weekly,1/15/23 0:00,Organic,1.492864218,29420.17,8692.55,6486,0,14241.62,,,
Northern New England,Weekly,1/15/23 0:00,Organic,1.928199893,14785.87,2282.77,276.86,0,12226.24,,,
New Orleans/Mobile,Weekly,1/15/23 0:00,Organic,1.414327412,7613.87,291.28,171.68,0,7150.9,,,
New York,Weekly,1/15/23 0:00,Organic,1.634898993,116991.6,11739.39,14960.45,410.88,89880.88,,,
Orlando,Weekly,1/15/23 0:00,Organic,0.901688442,58447.86,599.28,782.56,0,57066.02,,,
Peoria/Springfield,Weekly,1/15/23 0:00,Organic,1.218468065,7301.23,410.03,1087.8,0,5803.39,,,
Philadelphia,Weekly,1/15/23 0:00,Organic,1.40935846,33174.43,2004.5,2418.55,0,28751.38,,,
Phoenix/Tucson,Weekly,1/15/23 0:00,Organic,1.289953262,26138.52,8941.5,5845.55,0,11351.47,,,
Pittsburgh,Weekly,1/15/23 0:00,Organic,1.339998972,12264.08,1742.33,4.95,0,10516.79,,,
Portland,Weekly,1/15/23 0:00,Organic,1.766637545,81779.53,351.24,67151.1,0,14277.19,,,
Providence,Weekly,1/15/23 0:00,Organic,1.56829553,5807.3,44.73,17.41,0,5745.15,,,
Raleigh/Greensboro,Weekly,1/15/23 0:00,Organic,1.36253606,32494.67,656.41,2096.47,22.34,29719.45,,,
Richmond/Norfolk,Weekly,1/15/23 0:00,Organic,1.411316243,41701.31,12473.68,4544.43,1,24682.2,,,
Roanoke,Weekly,1/15/23 0:00,Organic,1.486128228,29422,13652.01,4093.28,0,11676.71,,,
Sacramento,Weekly,1/15/23 0:00,Organic,1.269790028,34223.08,6097.75,1307.49,0,26817.85,,,
San Diego,Weekly,1/15/23 0:00,Organic,1.249739018,47885.65,37632.67,1148.19,264.09,8840.7,,,
San Francisco,Weekly,1/15/23 0:00,Organic,1.959719341,69521.81,26085.62,3371.8,0,40064.39,,,
Seattle,Weekly,1/15/23 0:00,Organic,1.93438787,118308.79,2719.68,97245.22,20.52,18323.36,,,
South Carolina,Weekly,1/15/23 0:00,Organic,1.170029257,56932.85,1061.24,13820.62,3.2,42047.79,,,
Spokane,Weekly,1/15/23 0:00,Organic,1.830878049,7968.61,52.36,5933.68,0,1982.57,,,
St. Louis,Weekly,1/15/23 0:00,Organic,1.367486311,13515.57,1550.62,2699.64,0,9265.3,,,
Syracuse,Weekly,1/15/23 0:00,Organic,1.464081282,6489.64,330.51,74.7,0,6084.43,,,
Tampa,Weekly,1/15/23 0:00,Organic,1.127131859,29810.86,451.67,456.96,0,28902.23,,,
Toledo,Weekly,1/15/23 0:00,Organic,1.529850048,5128.35,642.15,836.51,0,3649.69,,,
West Tex/New Mexico,Weekly,1/15/23 0:00,Organic,1.100704393,19909.47,3712.92,1614.88,0,14581.67,,,
Wichita,Weekly,1/15/23 0:00,Organic,1.09880966,5100.11,1688.5,13.58,0,3398.03,,,
California,Weekly,1/15/23 0:00,Organic,1.215188979,580356.09,356436.92,12380.97,4157.88,207380.31,,,
Great Lakes,Weekly,1/15/23 0:00,Organic,1.409277418,226922.98,24112.91,61213.2,0,141596.87,,,
Midsouth,Weekly,1/15/23 0:00,Organic,1.395914824,336943.06,47285.63,41512.53,76.32,248068.58,,,
Northeast,Weekly,1/15/23 0:00,Organic,1.575851063,301204.67,19864.61,18413.82,12.83,262913.42,,,
Plains,Weekly,1/15/23 0:00,Organic,1.232804084,74922.37,13694.73,4815.4,0,56412.24,,,
South Central,Weekly,1/15/23 0:00,Organic,1.165555666,188221.87,42051.47,6254.63,0,139915.77,,,
Southeast,Weekly,1/15/23 0:00,Organic,1.072958921,503289.49,11739.62,94087.77,3.48,397458.62,,,
