INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,INSTURL,MAIN,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,ST_FIPS,REGION,LOCALE,LATITUDE,LONGITUDE,ADM_RATE,SAT_AVG,UGDS,UG,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,TUITIONFEE_IN,TUITIONFEE_OUT,DEBT_MDN,GRAD_DEBT_MDN,WDRAW_DEBT_MDN,MN_EARN_WNE_P10,MD_EARN_WNE_P10
University of Holy Cross,New Orleans,LA,70131-7399,Southern Association of Colleges and Schools Commission on Colleges,uhcno.edu/,1,1,3,4,2,22,5,11,29.912003,-89.99445,0.8735,NA,453,NA,0.4371,0.2627,0.1347,0.0397,0.0044,0.0022,15960,15960,19500,26995,13500,40700,49316
Franciscan Missionaries of Our Lady University,Baton Rouge,LA,70808,Southern Association of Colleges and Schools Commission on Colleges,www.franu.edu/,1,1,3,4,2,22,5,12,30.401379,-91.110587,0.8478,1120,844,NA,0.6505,0.2287,0.0652,0.0308,0.013,0.0012,15012,15012,16669,27672,10708,49400,59419
Pat Goins Benton Road Beauty School,Shreveport,LA,71105,National Accrediting Commission of Career Arts and Sciences,www.patgoins.edu/,1,1,1,1,3,22,5,12,32.436926,-93.716987,NA,NA,182,NA,0.3242,0.5879,0.0385,0.0055,0,0,NA,NA,5500,6333,4221,PS,20239
Celebrity Stylist Beauty School,Monroe,LA,71201-5135,National Accrediting Commission of Career Arts and Sciences,www.celebritystylistbeautyschool.com/,1,2,1,1,3,22,5,13,32.52121,-92.085347,NA,NA,37,NA,0.0811,0.9189,0,0,0,0,NA,NA,6333,9500,5500,PS,22002
Pineville Beauty School,Pineville,LA,71360-0000,National Accrediting Commission of Career Arts and Sciences,www.pinevillebeauty.com/,1,1,1,1,3,22,5,23,31.325717,-92.430903,NA,NA,41,NA,0.9268,0.0244,0.0244,0,0.0244,0,NA,NA,,,PS,PS,19411
Aveda Arts & Sciences Institute-Covington,Covington,LA,70433,National Accrediting Commission of Career Arts and Sciences,avedaarts.edu/,1,1,1,1,3,22,5,23,30.494049,-90.104008,NA,NA,2499,NA,0.4494,0.2613,0.1377,0.0124,0.0064,0.0056,NA,NA,7917,7917,4750,27400,30334
Saint Joseph Seminary College,St. Benedict,LA,70457,Southern Association of Colleges and Schools Commission on Colleges,https://www.sjasc.edu/,1,1,3,3,2,22,5,41,30.526778,-90.113621,NA,NA,106,NA,0.5377,0,0.1887,0.1038,0.0283,0,24725,24725,,,PS,PS,38366
LaSalle Tech,Houma,LA,70363,Council on Occupational Education,lasalletech.edu/,1,1,1,1,3,22,5,13,29.592656,-90.696772,NA,NA,106,NA,0.3019,0.217,0.2075,0.0189,0.0094,0.1887,NA,NA,5853,6333,4750,15500,20975
Fletcher Technical Community College,Schriever,LA,70395,Southern Association of Colleges and Schools Commission on Colleges,www.fletcher.edu/,1,1,1,2,1,22,5,41,29.690884,-90.811707,NA,NA,1788,NA,0.5487,0.2567,0.0738,0.0062,0.0464,0.0028,4119,4119,7500,10064,6990,33400,32189
Remington College-Lafayette Campus,Lafayette,LA,70503,Accrediting Commission of Career Schools and Colleges,https://www.remingtoncollege.edu/locations/lafayette/,0,12,1,2,2,22,5,12,30.166882,-92.059734,NA,NA,270,NA,0.2296,0.7148,0.0148,0.0074,0.0074,0,22272,22272,9500,13271,5500,28100,31349
SOWELA Technical Community College,Lake Charles,LA,70615,Southern Association of Colleges and Schools Commission on Colleges,www.sowela.edu/,1,1,1,2,1,22,5,13,30.217331,-93.16252,NA,NA,2796,NA,0.6313,0.2432,0.0497,0.0125,0.0064,0.0021,4265,4265,4250,PS,PS,44000,32303
Stevensons Academy of Hair Design,New Orleans,LA,70114,National Accrediting Commission of Career Arts and Sciences,www.stevenson-academy.com/,1,1,1,1,3,22,5,11,29.948438,-90.052219,NA,NA,161,NA,0,1,0,0,0,0,NA,NA,,,PS,19900,23853
Southeastern Louisiana University,Hammond,LA,70402,Southern Association of Colleges and Schools Commission on Colleges,www.southeastern.edu/,1,5,3,4,1,22,5,13,30.514652,-90.468676,0.9898,1090,9567,NA,0.6627,0.1976,0.0723,0.0096,0.0019,0.0007,8373,20851,11077,22113,7500,42800,46482
Southern University and A & M College,Baton Rouge,LA,70813,Southern Association of Colleges and Schools Commission on Colleges,www.subr.edu/,1,1,3,4,1,22,5,12,30.524558,-91.190105,0.539,940,5171,NA,0.0077,0.946,0.0087,0.0023,0.0019,0.0002,9940,17198,15455,29251,9500,39600,43371
Southern University at New Orleans,New Orleans,LA,70126,Southern Association of Colleges and Schools Commission on Colleges,www.suno.edu/,1,1,3,4,1,22,5,11,30.026162,-90.044912,0.9353,950,1144,NA,0.0201,0.9309,0.0122,0.0017,0.0009,0,7471,16371,19500,31000,11250,32100,34042
Southern University at Shreveport,Shreveport,LA,71107,Southern Association of Colleges and Schools Commission on Colleges,www.susla.edu/,1,1,2,2,1,22,5,12,32.545632,-93.834559,NA,NA,2069,NA,0.0643,0.9038,0.0092,0.0053,0.0019,0.0005,4958,4958,7500,18500,7250,29800,33099
University of Louisiana at Lafayette,Lafayette,LA,70503,Southern Association of Colleges and Schools Commission on Colleges,www.louisiana.edu/,1,1,3,4,1,22,5,12,30.212191,-92.020165,0.7456,NA,11932,NA,0.5991,0.2489,0.0544,0.0239,0.004,0.0011,10382,24110,14991,22902,8510,46400,47089
Northshore Technical Community College,Lacombe,LA,70445,Southern Association of Colleges and Schools Commission on Colleges,northshorecollege.edu/,1,1,1,2,1,22,5,41,30.379147,-89.899196,NA,NA,1781,NA,0.5587,0.3363,0.0584,0.0034,0.0022,0.0045,4203,4203,7772,12000,6250,NA,29734
Tulane University of Louisiana,New Orleans,LA,70118-5698,Southern Association of Colleges and Schools Commission on Colleges,https://tulane.edu/,1,1,3,4,2,22,5,11,29.940069,-90.122144,0.1145,1443,8490,NA,0.677,0.0651,0.0923,0.0529,0.0007,0.0006,62844,62844,19250,20500,10000,86300,63268
Xavier University of Louisiana,New Orleans,LA,70125-1098,Southern Association of Colleges and Schools Commission on Colleges,https://www.xula.edu/,1,1,3,4,2,22,5,11,29.964162,-90.107307,0.9516,1103,2681,NA,0.0134,0.8631,0.0407,0.0246,0.0004,0.0004,26863,26863,14000,24053,9750,64500,52184
College of the Atlantic,Bar Harbor,ME,4609,New England Commission on Higher Education,www.coa.edu/,1,1,3,4,2,23,1,33,44.395258,-68.221517,0.6008,NA,372,NA,0.6317,0.0054,0.0618,0.0242,0,0,44829,44829,17723,25050,7972,27800,40264
Bates College,Lewiston,ME,4240,New England Commission on Higher Education,www.bates.edu/,1,1,3,3,2,23,1,13,44.105299,-70.203333,0.1374,1480,1790,NA,0.6235,0.0508,0.0905,0.0637,0.0022,0.0011,61066,61066,12442,14275,8495,74300,69498
Beal University,Bangor,ME,4401,Accrediting Commission of Career Schools and Colleges,www.beal.edu/,1,2,2,4,3,23,1,13,44.786465,-68.785428,NA,NA,395,NA,0.7975,0.0557,0.0253,0,0.0051,0,NA,NA,11261,19500,7681,23100,35639
Bowdoin College,Brunswick,ME,4011,New England Commission on Higher Education,https://www.bowdoin.edu/,1,1,3,3,2,23,1,31,43.907134,-69.963942,0.0919,1520,1909,NA,0.5563,0.0602,0.1325,0.0932,0.001,0.0016,61528,61528,12000,18500,5541,83300,82735
Maine College of Health Professions,Lewiston,ME,4240,New England Commission on Higher Education,www.mchp.edu/,1,1,2,3,2,23,1,13,44.100458,-70.21732,0.5625,NA,237,NA,0.8059,0.0591,0.0042,0.0127,0.0042,0.0042,16238,16238,12000,15250,5500,53100,79840
Central Maine Community College,Auburn,ME,04210-6498,New England Commission on Higher Education,https://www.cmcc.edu/,1,1,2,2,1,23,1,41,44.134346,-70.235498,NA,NA,2249,NA,0.7559,0.0938,0.0329,0.0067,0.0031,0.0009,3760,6640,6568,12000,5500,35600,42448
Colby College,Waterville,ME,04901-8840,New England Commission on Higher Education,www.colby.edu/,1,1,3,3,2,23,1,33,44.564211,-69.66337,0.0761,1501,2299,NA,0.5607,0.0535,0.08,0.0983,0.0017,0.0004,63520,63520,15000,19157,7730,71000,80490
Eastern Maine Community College,Bangor,ME,4401,New England Commission on Higher Education,www.emcc.edu/,1,1,2,2,1,23,1,13,44.826048,-68.74445,NA,NA,1479,NA,0.8675,0.0183,0.0318,0.0169,0.0128,0.0007,3877,6757,7833,11293,5500,36100,41704
Kennebec Valley Community College,Fairfield,ME,04937-1367,New England Commission on Higher Education,www.kvcc.me.edu/,1,1,2,2,1,23,1,41,44.594149,-69.61157,NA,NA,1311,NA,0.8932,0.0175,0.0244,0.0053,0.0046,0,3687,6567,9500,13255,7749,32300,36035
The Landing School,Arundel,ME,4046,Accrediting Commission of Career Schools and Colleges,www.landingschool.edu/,1,1,1,2,2,23,1,41,43.380492,-70.503619,NA,NA,46,NA,0.8261,0,0.087,0.0217,0,0,26012,26012,7500,PS,PS,PS,65849
University of Maine at Augusta,Augusta,ME,04330-9410,New England Commission on Higher Education,www.uma.edu/,1,1,3,4,1,23,1,32,44.337746,-69.796396,NA,NA,2870,NA,0.8181,0.0331,0.0422,0.0091,0.0122,0.0007,8378,19778,13215,22734,10000,30600,40342
University of Maine at Farmington,Farmington,ME,04938-9978,New England Commission on Higher Education,https://www.umf.maine.edu/,1,1,3,4,1,23,1,33,44.666911,-70.147121,0.9417,1110,1217,NA,0.8751,0.0247,0.037,0.0049,0.0041,0.0008,9890,21650,16722,24499,8750,37500,44433
University of Maine at Fort Kent,Fort Kent,ME,04743-1292,New England Commission on Higher Education,www.umfk.maine.edu/,1,1,3,3,1,23,1,43,47.250389,-68.589319,0.9924,NA,650,NA,0.6923,0.0692,0.0477,0.0154,0.0031,0.0046,8805,13575,12778,20160,8250,37700,51077
University of Maine,Orono,ME,4469,New England Commission on Higher Education,www.umaine.edu/,1,2,3,4,1,23,1,23,44.899257,-68.669332,0.9396,1202,8720,NA,0.8303,0.0171,0.0506,0.0171,0.0078,0.0003,12136,33736,16750,25000,8750,48300,48653
Maine Maritime Academy,Castine,ME,04420-0001,New England Commission on Higher Education,https://mainemaritime.edu/,1,1,3,4,1,23,1,42,44.389654,-68.804347,0.5765,1166,874,NA,0.833,0.0217,0.0446,0.016,0.0114,0,14562,30042,26812,27000,8750,107200,89964
University of Maine at Presque Isle,Presque Isle,ME,04769-2888,New England Commission on Higher Education,www.umpi.edu/,1,1,3,4,1,23,1,41,46.672285,-68.016343,0.9699,NA,1100,NA,0.6855,0.0709,0.0655,0.0145,0.0127,0.0018,8750,13160,8275,16000,6794,35300,40956
University of New England,Biddeford,ME,04005-9599,New England Commission on Higher Education,https://www.une.edu/,1,1,3,4,2,23,1,22,43.458591,-70.38535,0.9628,NA,2272,NA,0.864,0.0145,0.0335,0.0299,0.0013,0.0013,40950,40950,20000,25250,5766,51000,55921
Northern Maine Community College,Presque Isle,ME,04769-2016,New England Commission on Higher Education,www.nmcc.edu/,1,1,2,2,1,23,1,33,46.694668,-68.034796,NA,NA,522,NA,0.8582,0.0211,0.023,0.0057,0.023,0,3730,6610,8225,10825,5500,33600,43348
Empire Beauty School-Maine,Portland,ME,4101,NA,www.empire.edu/,1,8,1,1,3,23,1,13,43.667885,-70.258154,NA,NA,155,NA,0.7484,0.0258,0.0129,0.0194,0.0065,0,NA,NA,7667,13000,4750,20200,23925
Maine College of Art & Design,Portland,ME,04101-3494,New England Commission on Higher Education,www.meca.edu/,1,1,3,4,2,23,1,13,43.655743,-70.261015,0.7396,NA,380,NA,0.75,0.0263,0.0263,0.0474,0.0026,0,39830,39830,19000,27000,5500,32800,40778
Saint Joseph's College of Maine,Standish,ME,04084-5263,New England Commission on Higher Education,www.sjcme.edu/,1,1,3,4,2,23,1,41,43.826314,-70.483373,0.8084,1060,963,NA,0.8089,0.0374,0.0509,0.0104,0.0021,0.0021,41586,41586,19576,27000,5500,47000,59045
Spa Tech Institute-Westbrook,Westbrook,ME,4092,National Accrediting Commission of Career Arts and Sciences,www.spatech.edu/,1,4,1,1,3,23,1,22,43.67659,-70.335331,NA,NA,248,NA,0.8548,0.0565,0.0081,0.0323,0.0081,0.0081,NA,NA,6333,6333,3167,27800,27803
Southern Maine Community College,South Portland,ME,04106-1698,New England Commission on Higher Education,https://www.smccme.edu/,1,1,2,2,1,23,1,13,43.646649,-70.229182,NA,NA,4527,NA,0.7413,0.123,0.0435,0.0241,0.0027,0.0007,3797,6677,6046,10331,5500,36500,41661
University of Southern Maine,Portland,ME,4103,New England Commission on Higher Education,www.usm.maine.edu/,1,1,3,4,1,23,1,13,43.662863,-70.274247,0.8543,1109,4322,NA,0.7682,0.078,0.0451,0.0257,0.0065,0.0009,10120,24736,12887,19060,8750,44400,49958
Thomas College,Waterville,ME,04901-5097,New England Commission on Higher Education,www.thomas.edu/,1,1,3,4,2,23,1,41,44.524909,-69.664734,0.9724,NA,673,NA,0.8172,0.0357,0.0238,0.0059,0.0015,0,29996,29996,20000,24250,6000,43400,44991
Unity College,New Gloucester,ME,4260,NA,https://unity.edu/,1,1,3,4,2,23,1,41,43.905745,-70.257277,0.9431,NA,3679,NA,0.7127,0.0484,0.1057,0.0101,0.0133,0.0024,12640,12640,4752,25000,3935,37400,37852
Washington County Community College,Calais,ME,4619,New England Commission on Higher Education,www.wccc.me.edu/,1,1,1,2,1,23,1,33,45.165537,-67.243306,NA,NA,273,NA,0.7729,0.0147,0.022,0.0037,0.0586,0,3687,6567,5500,PS,5500,31600,34407
Allegany College of Maryland,Cumberland,MD,21502-2596,Middle States Commission on Higher Education,www.allegany.edu/,1,1,2,2,1,24,2,13,39.652152,-78.730398,NA,NA,1764,NA,0.7421,0.1519,0.0329,0.0074,0.0023,0.0011,4730,11060,8250,13702,5500,33200,38476
Anne Arundel Community College,Arnold,MD,21012-1895,Middle States Commission on Higher Education,www.aacc.edu/,1,1,2,2,1,24,2,21,39.049813,-76.512223,NA,NA,8326,NA,0.4977,0.191,0.1194,0.0476,0.004,0.0017,4970,13760,6250,8250,5885,42200,46219
Award Beauty School,Hagerstown,MD,21740-5610,National Accrediting Commission of Career Arts and Sciences,www.awardbeautyschool.com/,1,1,1,1,3,24,2,13,39.640443,-77.720283,NA,NA,147,NA,0.4558,0.3946,0.1497,0,0,0,NA,NA,7500,13000,4750,19800,18172
Baltimore Studio of Hair Design,Baltimore,MD,21201-3444,National Accrediting Commission of Career Arts and Sciences,www.baltimorestudio.com/,1,1,1,1,3,24,2,11,39.293371,-76.620008,NA,NA,43,NA,0,0.9767,0.0233,0,0,0,NA,NA,5500,8463,4750,21300,20080
Baltimore City Community College,Baltimore,MD,21215-7893,Middle States Commission on Higher Education,www.bccc.edu/,1,1,2,2,1,24,2,11,39.319978,-76.662878,NA,NA,2594,NA,0.0382,0.6677,0.0305,0.01,0.0019,0,3314,7394,,,PS,32500,36025
University of Baltimore,Baltimore,MD,21201-5720,Middle States Commission on Higher Education,www.ubalt.edu/,1,1,3,4,1,24,2,11,39.305834,-76.616591,0.8933,980,1351,NA,0.2791,0.4782,0.097,0.0444,0.0022,0.0015,9506,22956,18972,23250,16792,63400,61335
Bowie State University,Bowie,MD,20715-9465,Middle States Commission on Higher Education,www.bowiestate.edu/,1,1,3,4,1,24,2,21,39.018185,-76.759721,0.8654,910,5289,NA,0.0253,0.8289,0.0524,0.0123,0.0026,0.0015,8748,19470,12861,22985,11250,48700,54537
Capitol Technology University,Laurel,MD,20708,Middle States Commission on Higher Education,www.captechu.edu/,1,1,3,4,2,24,2,21,39.046673,-76.850231,0.6434,NA,296,NA,0.2872,0.2331,0.0507,0.0676,0,0,27004,27004,12000,20264,9500,68100,85035
Cecil College,North East,MD,21901-1900,Middle States Commission on Higher Education,www.cecil.edu/,1,1,2,2,1,24,2,41,39.642225,-75.955949,NA,NA,1315,NA,0.73,0.1057,0.0814,0.0152,0.0015,0,4920,9510,8250,9536,8250,36700,43952
College of Southern Maryland,La Plata,MD,20646-0910,Middle States Commission on Higher Education,www.csmd.edu/,1,1,2,2,1,24,2,41,38.55895,-77.009245,NA,NA,4378,NA,0.4582,0.2821,0.093,0.0429,0.0046,0.0021,4110,9240,5500,8500,5500,40600,44435
Chesapeake College,Wye Mills,MD,21679-0008,Middle States Commission on Higher Education,https://www.chesapeake.edu/,1,1,2,2,1,24,2,42,38.952193,-76.083668,NA,NA,1273,NA,0.6724,0.1367,0.088,0.0196,0.0031,0.0016,4010,8504,,,PS,31200,36301
Washington Adventist University,Takoma Park,MD,20912,Middle States Commission on Higher Education,https://www.wau.edu/,1,1,3,4,2,24,2,21,38.986349,-77.000608,0.5143,NA,499,NA,0.0441,0.4589,0.2665,0.0301,0.002,0.002,25200,25200,22750,30500,12500,46300,64249
Coppin State University,Baltimore,MD,21216-3698,Middle States Commission on Higher Education,www.coppin.edu/,1,1,3,4,1,24,2,11,39.311258,-76.658687,0.4495,940,1708,NA,0.0123,0.8191,0.0316,0.0059,0.0041,0.0012,6904,13560,15606,25000,11000,41800,46490
Del-Mar-Va Beauty Academy,Salisbury,MD,21804-6952,National Accrediting Commission of Career Arts and Sciences,www.delmarvabeautyacademy.com/,1,1,1,1,3,24,2,13,38.339006,-75.601701,NA,NA,54,NA,0.2593,0.6296,0.037,0.0185,0,0,NA,NA,9833,16500,5500,22600,25426
North American Trade Schools,Baltimore,MD,21244,Accrediting Commission of Career Schools and Colleges,natradeschools.edu/,1,1,1,1,3,24,2,21,39.308719,-76.751371,NA,NA,612,NA,0.0997,0.8072,0.0507,0.0098,0.0016,0.0016,NA,NA,3668,7338,3372,37700,39756
Frederick Community College,Frederick,MD,21702-2964,Middle States Commission on Higher Education,https://www.frederick.edu/,1,1,2,2,1,24,2,13,39.452241,-77.417849,NA,NA,3653,NA,0.5119,0.1689,0.1801,0.0485,0.0025,0.0008,3772,9844,5500,8150,5500,42100,46449
Frostburg State University,Frostburg,MD,21532-1099,Middle States Commission on Higher Education,www.frostburg.edu/,1,1,3,4,1,24,2,23,39.650918,-78.934293,0.8788,NA,2873,NA,0.5767,0.2656,0.0668,0.0164,0.0028,0.0017,9804,24684,14867,21105,8250,47200,55493
Garrett College,McHenry,MD,21541,Middle States Commission on Higher Education,www.garrettcollege.edu/index.php,1,1,2,2,1,24,2,42,39.560493,-79.342923,NA,NA,367,NA,0.7602,0.1417,0.0354,0.0027,0.0027,0,3976,12124,6560,10750,5500,31600,35823
Goucher College,Baltimore,MD,21204-2794,Middle States Commission on Higher Education,www.goucher.edu/,1,1,3,4,2,24,2,13,39.410175,-76.594843,0.8024,1258,981,NA,0.5087,0.264,0.0459,0.051,0.0071,0,49220,49220,17882,26000,8000,55100,53023
Hagerstown Community College,Hagerstown,MD,21742-6514,Middle States Commission on Higher Education,https://www.hagerstowncc.edu/,1,1,2,2,1,24,2,22,39.631009,-77.667379,NA,NA,2695,NA,0.6516,0.1217,0.1132,0.0219,0.0011,0.0007,4320,8190,6500,11000,5500,37000,41615
Harford Community College,Bel Air,MD,21015-1698,Middle States Commission on Higher Education,www.harford.edu/,1,1,2,2,1,24,2,41,39.56131,-76.282845,NA,NA,3620,NA,0.6285,0.182,0.0762,0.0367,0.0019,0.0011,3888,8448,7241,9812,6000,36500,44608
Hood College,Frederick,MD,21701,Middle States Commission on Higher Education,www.hood.edu/,1,1,3,4,2,24,2,13,39.420631,-77.419049,0.7787,NA,1182,NA,0.5516,0.1717,0.121,0.0355,0,0.0008,44500,44500,18185,25000,7842,49400,57089
Howard Community College,Columbia,MD,21044-3197,Middle States Commission on Higher Education,www.howardcc.edu/,1,1,2,2,1,24,2,12,39.213636,-76.877964,NA,NA,6905,NA,0.2511,0.3195,0.1463,0.1202,0.0019,0.001,4088,8408,8250,10500,8000,44000,49020
Aveda Institute-Maryland,Bel Air,MD,21014-3639,National Accrediting Commission of Career Arts and Sciences,https://avedainstitutemd.edu/,1,1,1,1,3,24,2,22,39.531933,-76.349927,NA,NA,94,NA,0.734,0.1489,0.0851,0.0213,0,0,NA,NA,6333,6333,3167,27000,21250
Johns Hopkins University,Baltimore,MD,21218-2688,Middle States Commission on Higher Education,www.jhu.edu/,1,1,3,4,2,24,2,11,39.328977,-76.621595,0.0725,1553,5643,NA,0.2063,0.0925,0.204,0.2665,0.0009,0.0002,60480,60480,9000,10250,5750,89300,87555
Lincoln College of Technology-Columbia,Columbia,MD,21046,Accrediting Commission of Career Schools and Colleges,www.lincolntech.edu/campus/columbia-md,0,7,1,2,3,24,2,12,39.174673,-76.836463,NA,NA,947,NA,0.169,0.453,0.2439,0.0348,0.0053,0.0021,NA,NA,9500,11250,4750,43500,38683
Loyola University Maryland,Baltimore,MD,21210-2699,Middle States Commission on Higher Education,www.loyola.edu/,1,1,3,4,2,24,2,11,39.346358,-76.621872,0.8348,1285,3968,NA,0.6557,0.1033,0.1358,0.0363,0.001,0.001,53430,53430,23882,27000,5500,78300,82652
University of Maryland Global Campus,Adelphi,MD,20783-8010,Middle States Commission on Higher Education,www.umgc.edu/,1,1,3,4,1,24,2,21,38.912706,-76.847584,NA,NA,44458,NA,0.3528,0.2644,0.1716,0.053,0.0048,0.008,7848,12336,10500,21000,9500,55900,65287
University of Maryland Baltimore,Baltimore,MD,21201-1627,Middle States Commission on Higher Education,www.umaryland.edu/,1,1,3,4,1,24,2,11,39.286864,-76.623983,NA,NA,956,NA,0.3232,0.2563,0.1151,0.2008,0,0,NA,NA,15000,15000,10070,114200,88174
University of Maryland-Baltimore County,Baltimore,MD,21250,Middle States Commission on Higher Education,umbc.edu/,1,1,3,4,1,24,2,21,39.256686,-76.711607,0.8055,1295,10557,NA,0.3232,0.229,0.0928,0.2335,0.0009,0.0006,12606,29370,15750,19500,10500,59600,69960
University of Maryland-College Park,College Park,MD,20742,Middle States Commission on Higher Education,www.umd.edu/,1,1,3,4,1,24,2,21,38.988178,-76.944721,0.4461,1461,29982,NA,0.4189,0.1268,0.1038,0.2252,0.0011,0.0005,11233,39469,17000,19000,11000,70800,82860
Maryland Institute College of Art,Baltimore,MD,21217-4134,Middle States Commission on Higher Education,www.mica.edu/,1,1,3,4,2,24,2,11,39.308792,-76.621033,0.7958,1169,1401,NA,0.339,0.1042,0.1035,0.1071,0,0,53815,53815,16250,26500,8750,41200,45212
University of Maryland Eastern Shore,Princess Anne,MD,21853-1299,Middle States Commission on Higher Education,www.umes.edu/,1,1,3,4,1,24,2,31,38.207386,-75.686852,0.8156,NA,1877,NA,0.0874,0.7603,0.0432,0.0144,0.0064,0,8898,19728,18500,27000,9500,40400,47697
Fortis Institute-Towson,Towson,MD,21204-9840,Accrediting Bureau of Health Education Schools,https://www.fortis.edu/,1,5,1,1,3,24,2,13,39.403271,-76.604593,NA,NA,382,NA,0.0838,0.8455,0.0314,0.0026,0.0026,0,NA,NA,9500,12547,6334,28300,36368
Montgomery Beauty School,Silver Spring,MD,20901,National Accrediting Commission of Career Arts and Sciences,www.montgomerybeautyschool.com/,1,2,1,1,3,24,2,21,38.999622,-77.001966,NA,NA,83,NA,0.0482,0.3373,0.6024,0.012,0,0,NA,NA,7667,11845,4750,21000,18726
Montgomery College,Rockville,MD,20850,Middle States Commission on Higher Education,www.montgomerycollege.edu/,1,1,2,2,1,24,2,13,39.098656,-77.15929,NA,NA,13357,NA,0.1996,0.2495,0.2883,0.1183,0.0019,0.0019,5322,14034,7000,10415,6945,46000,50159
Morgan State University,Baltimore,MD,21251-0001,Middle States Commission on Higher Education,https://www.morgan.edu/,1,1,3,4,1,24,2,11,39.344161,-76.585565,0.8538,971,7599,NA,0.0084,0.711,0.0482,0.0026,0.0013,0.0004,8008,18479,19500,27250,11750,42600,50698
Mount St. Mary's University,Emmitsburg,MD,21727-7799,Middle States Commission on Higher Education,https://msmary.edu/,1,1,3,4,2,24,2,31,39.681705,-77.351887,0.7957,1146,1824,NA,0.5373,0.1897,0.1398,0.028,0.0044,0.0033,45870,45870,15000,25391,5500,56600,64072
Ner Israel Rabbinical College,Baltimore,MD,21208,Association of Advanced Rabbinical and Talmudic Schools,https://nirc.edu/,1,1,3,4,2,24,2,21,39.388021,-76.753526,0.7222,NA,246,NA,0.9106,0,0,0,0,0,13700,13700,,,PS,PS,66330
Hair Academy,New Carrollton,MD,20784,National Accrediting Commission of Career Arts and Sciences,www.hairacademymd.com/,1,1,1,1,3,24,2,21,38.956205,-76.869467,NA,NA,265,NA,0.0377,0.9208,0.0415,0,0,0,NA,NA,6333,13000,4750,21900,20953
Notre Dame of Maryland University,Baltimore,MD,21210-2476,Middle States Commission on Higher Education,www.ndm.edu/,1,1,3,4,2,24,2,11,39.350612,-76.619739,0.6958,NA,634,NA,0.2965,0.2808,0.1356,0.0615,0.0016,0,40730,40730,17990,22666,12375,56400,65344
Prince George's Community College,Largo,MD,20774-2199,Middle States Commission on Higher Education,https://www.pgcc.edu/,1,1,2,2,1,24,2,21,38.888689,-76.824623,NA,NA,8618,NA,0.0472,0.6043,0.1847,0.0363,0.0022,0.0014,3914,8642,6000,10500,5500,43700,47548
Maryland Beauty Academy of Essex,Baltimore,MD,21224,National Accrediting Commission of Career Arts and Sciences,www.baltimorestudio.com/,1,1,1,1,3,24,2,21,39.29844,-76.509213,NA,NA,41,NA,0.4634,0.3659,0.1463,0.0244,0,0,NA,NA,5713,8500,4750,22600,20445
Salisbury University,Salisbury,MD,21801-6862,Middle States Commission on Higher Education,https://www.salisbury.edu/,1,1,3,4,1,24,2,23,38.34648,-75.604815,0.9106,1237,6145,NA,0.6976,0.1336,0.0672,0.0329,0.0044,0.001,10396,20872,15750,21000,6706,54200,61515
St. Mary's College of Maryland,St. Mary's City,MD,20686,Middle States Commission on Higher Education,https://www.smcm.edu/,1,1,3,4,1,24,2,23,38.188047,-76.430994,0.773,1261,1476,NA,0.6938,0.1152,0.0867,0.0359,0.0007,0.0054,15184,31260,17000,21000,9000,55200,60110
St. John's College,Annapolis,MD,21401,Middle States Commission on Higher Education,www.sjc.edu/,1,1,3,4,2,24,2,21,38.981598,-76.491359,0.499,1378,462,NA,0.6732,0.0216,0.0563,0.0411,0,0,37260,37260,19500,27000,5500,42000,51584
Towson University,Towson,MD,21252-0001,Middle States Commission on Higher Education,www.towson.edu/,1,1,3,4,1,24,2,13,39.393622,-76.611164,0.786,1138,16734,NA,0.4423,0.3053,0.1026,0.068,0.001,0.0005,10818,26820,15362,18718,10500,55100,64390
Maryland University of Integrative Health,Laurel,MD,20723,Middle States Commission on Higher Education,www.muih.edu/,1,1,4,4,2,24,2,21,39.165872,-76.888025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,PS,NA,
United States Naval Academy,Annapolis,MD,21402-1300,NA,www.usna.edu/,1,1,3,3,1,24,0,21,38.980507,-76.481692,0.1075,1326,4450,NA,0.5919,0.06,0.1366,0.0885,0.0013,0.0029,NA,NA,,,NA,NA,
Stevenson University,Owings Mills,MD,21117,Middle States Commission on Higher Education,www.stevenson.edu/,1,1,3,4,2,24,2,21,39.426413,-76.775809,0.841,NA,2979,NA,0.5005,0.2776,0.1004,0.0366,0.0023,0.0003,38738,38738,21500,26000,8250,54600,62079
Washington College,Chestertown,MD,21620-1438,Middle States Commission on Higher Education,www.washcoll.edu/,1,1,3,3,2,24,2,32,39.217329,-76.06878,0.7471,1259,935,NA,0.6449,0.1155,0.0866,0.0332,0.0053,0.0021,52481,52481,21000,26956,8548,56500,65518
McDaniel College,Westminster,MD,21157,Middle States Commission on Higher Education,www.mcdaniel.edu/,1,1,3,4,2,24,2,23,39.584231,-77.001992,0.8205,NA,1748,NA,0.5332,0.2511,0.0973,0.0206,0.0023,0.0006,46800,46800,15000,25000,5500,54000,60663
