id,Calls
680,33
681,25
682,37
683,35
684,25
685,27
686,29
687,35
688,37
689,34
690,40
691,25
692,33
693,36
694,34
695,45
696,29
697,39
698,34
699,38
700,23
701,33
702,29
703,36
704,33
705,37
706,NA
707,36
708,36
709,39
710,33
711,30
712,33
713,41
714,26
715,29
716,30
717,32
718,38
719,42
720,44
721,NA
722,NA
723,41
724,34
725,28
726,NA
727,42
728,35
729,33
730,34
731,37
732,34
733,31
734,29
735,29
736,33
737,34
738,29
739,35
740,43
741,39
742,30
743,39
744,34
745,33
746,34
747,36
748,42
749,25
750,32
751,31
752,32
753,30
754,42
755,31
756,22
757,30
758,28
759,22
760,21
761,34
762,37
763,36
764,28
765,39
766,27
767,40
768,29
769,31
770,31
771,37
772,27
773,38
774,27
775,42
776,43
777,34
778,28
779,36
780,44
781,NA
782,33
783,34
784,35
785,31
786,36
787,30
788,38
789,41
790,27
791,34
792,34
793,27
794,36
795,43
796,37
797,32
798,31
799,39
800,28
801,30
802,29
803,29
804,33
805,NA
806,39
807,36
808,29
809,40
810,36
811,35
812,38
813,NA
814,26
815,30
816,31
817,38
818,27
819,28
820,43
821,NA
822,39
823,NA
824,36
825,40
826,25
827,53
828,27
829,NA
830,29
831,36
832,32
833,29
834,30
835,33
836,35
837,NA
838,37
839,38
840,27
841,31
842,26
843,29
844,26
845,35
846,33
847,39
848,34
849,29
850,30
851,50
852,36
853,18
854,43
855,35
856,43
857,28
858,25
859,37
860,33
861,50
862,NA
863,40
864,34
865,33
866,40
867,29
868,21
869,42
870,30
871,NA
872,34
873,42
874,30
875,29
876,39
877,41
878,39
879,30
880,32
881,28
882,41
883,35
884,29
885,35
886,42
887,33
888,29
889,37
890,39
891,42
892,35
893,38
894,NA
895,36
896,36
897,23
898,27
899,27
900,31
901,25
902,34
903,35
904,31
905,37
906,21
907,39
908,36
909,32
910,32
911,38
912,37
913,40
914,31
915,27
916,33
917,26
918,43
919,41
920,41
921,39
922,27
923,42
924,31
925,37
926,29
927,35
928,38
929,28
930,NA
931,44
932,32
933,39
934,39
935,37
936,36
937,NA
938,36
939,NA
940,29
941,28
942,34
943,NA
944,32
945,31
946,33
947,32
948,35
949,39
950,36
951,34
952,38
953,30
954,33
955,48
956,37
957,35
958,46
959,31
960,43
961,41
962,32
963,32
964,26
965,35
966,35
967,29
968,NA
969,28
970,24
971,29
972,26
973,47
974,46
975,NA
976,36
977,30
978,30
979,31
980,37
981,48
982,33
983,34
984,34
985,34
986,36
987,29
988,43
989,28
990,NA
991,30
992,39
993,36
994,32
995,25
996,NA
997,41
998,30
999,32
1000,30
1001,35
1002,30
1003,33
1004,39
1005,38
1006,40
1007,45
1008,28
1009,41
1010,33
1011,NA
1012,27
1013,38
1014,25
1015,24
1016,38
1017,36
1018,36
1019,31
1020,34
1021,42
1022,39
1023,NA
1024,29
1025,42
1026,40
1027,45
1028,40
1029,46
1030,36
1031,35
1032,37
1033,NA
1034,24
1035,37
1036,40
1037,40
1038,28
1039,34
1040,37
1041,20
1042,31
1043,NA
1044,42
1045,39
1046,40
1047,30
1048,30
1049,31
1050,NA
1051,31
1052,33
1053,29
1054,31
1055,NA
1056,37
1057,43
1058,39
1059,NA
1060,32
1061,34
1062,32
1063,28
1064,34
1065,36
1066,36
1067,32
1068,20
1069,44
1070,34
1071,44
1072,34
1073,34
1074,41
1075,39
1076,34
1077,32
1078,NA
1079,41
1080,33
1081,NA
1082,30
1083,28
1084,32
1085,29
1086,24
1087,36
1088,31
1089,40
1090,NA
1091,26
1092,26
1093,33
1094,39
1095,40
1096,32
1097,37
1098,38
1099,43
1100,34
