ID,Crash Type,Light Condition
354,Not Head-On,Daylight
355,Not Head-On,Daylight
356,Not Head-On,Daylight
357,Head-on,Daylight
358,Not Head-On,Daylight
359,Not Head-On,Daylight
360,Not Head-On,Not Daylight
361,Not Head-On,Daylight
362,Head-on,Daylight
363,Not Head-On,Daylight
364,Not Head-On,Not Daylight
365,Not Head-On,Not Daylight
366,Not Head-On,Daylight
367,Not Head-On,Daylight
368,Not Head-On,Daylight
369,Not Head-On,Not Daylight
370,Not Head-On,Daylight
371,Not Head-On,Daylight
372,Not Head-On,Not Daylight
373,Head-on,Not Daylight
374,Not Head-On,Daylight
375,Not Head-On,Not Daylight
376,Not Head-On,Not Daylight
377,Not Head-On,Daylight
378,Not Head-On,Daylight
379,Head-on,Daylight
380,Not Head-On,Not Daylight
381,Not Head-On,Daylight
382,Not Head-On,Daylight
383,Not Head-On,Not Daylight
384,Head-on,Not Daylight
385,Not Head-On,Daylight
386,Not Head-On,Daylight
387,Not Head-On,Daylight
388,Not Head-On,Daylight
389,Not Head-On,Not Daylight
390,Not Head-On,Not Daylight
391,Head-on,Daylight
392,Not Head-On,Daylight
393,Not Head-On,Daylight
394,Not Head-On,Not Daylight
395,Not Head-On,Daylight
396,Not Head-On,Not Daylight
397,Not Head-On,Daylight
398,Not Head-On,Not Daylight
399,Not Head-On,Daylight
400,Not Head-On,Not Daylight
401,Not Head-On,Daylight
402,Not Head-On,Daylight
403,Not Head-On,Daylight
404,Not Head-On,Not Daylight
405,Not Head-On,Daylight
406,Not Head-On,Not Daylight
407,Not Head-On,Daylight
408,Not Head-On,Not Daylight
409,Not Head-On,Daylight
410,Not Head-On,Not Daylight
411,Not Head-On,Not Daylight
412,Not Head-On,Not Daylight
413,Not Head-On,Daylight
414,Not Head-On,Daylight
415,Not Head-On,Daylight
416,Not Head-On,Not Daylight
417,Not Head-On,Not Daylight
418,Not Head-On,Daylight
419,Not Head-On,Not Daylight
420,Not Head-On,Daylight
421,Not Head-On,Daylight
422,Not Head-On,Daylight
423,Not Head-On,Not Daylight
424,Not Head-On,Daylight
425,Not Head-On,Not Daylight
426,Not Head-On,Daylight
427,Not Head-On,Daylight
428,Not Head-On,Daylight
429,Head-on,Daylight
430,Not Head-On,Not Daylight
431,Not Head-On,Daylight
432,Not Head-On,Daylight
433,Not Head-On,Not Daylight
434,Not Head-On,Not Daylight
435,Not Head-On,Daylight
436,Not Head-On,Not Daylight
437,Not Head-On,Daylight
438,Not Head-On,Not Daylight
439,Not Head-On,Daylight
440,Not Head-On,Daylight
441,Not Head-On,Daylight
442,Head-on,Daylight
443,Not Head-On,Not Daylight
444,Not Head-On,Daylight
445,Not Head-On,Not Daylight
446,Not Head-On,Daylight
447,Not Head-On,Daylight
448,Not Head-On,Not Daylight
449,Not Head-On,Daylight
450,Not Head-On,Daylight
451,Not Head-On,Daylight
452,Not Head-On,Not Daylight
453,Not Head-On,Not Daylight
454,Not Head-On,Daylight
455,Not Head-On,Not Daylight
456,Not Head-On,Daylight
457,Not Head-On,Daylight
458,Not Head-On,Daylight
459,Not Head-On,Not Daylight
460,Head-on,Daylight
461,Not Head-On,Daylight
462,Not Head-On,Daylight
463,Not Head-On,Not Daylight
464,Not Head-On,Not Daylight
465,Not Head-On,Daylight
466,Not Head-On,Daylight
467,Not Head-On,Not Daylight
468,Not Head-On,Daylight
469,Not Head-On,Not Daylight
470,Not Head-On,Daylight
471,Not Head-On,Daylight
472,Not Head-On,Daylight
473,Not Head-On,Daylight
474,Not Head-On,Daylight
475,Not Head-On,Not Daylight
476,Head-on,Daylight
477,Not Head-On,Daylight
478,Not Head-On,Daylight
479,Not Head-On,Daylight
480,Not Head-On,Daylight
481,Not Head-On,Daylight
482,Not Head-On,Not Daylight
483,Not Head-On,Daylight
484,Not Head-On,Not Daylight
485,Not Head-On,Daylight
486,Not Head-On,Not Daylight
487,Not Head-On,Daylight
488,Not Head-On,Daylight
489,Not Head-On,Not Daylight
490,Not Head-On,Not Daylight
491,Not Head-On,Daylight
492,Not Head-On,Daylight
493,Not Head-On,Daylight
494,Not Head-On,Not Daylight
495,Not Head-On,Daylight
496,Not Head-On,Daylight
497,Not Head-On,Daylight
498,Not Head-On,Daylight
499,Head-on,Daylight
500,Not Head-On,Daylight
501,Not Head-On,Daylight
502,Not Head-On,Daylight
503,Not Head-On,Daylight
504,Not Head-On,Not Daylight
505,Not Head-On,Daylight
506,Not Head-On,Daylight
507,Not Head-On,Daylight
508,Not Head-On,Daylight
509,Head-on,Not Daylight
510,Not Head-On,Daylight
511,Not Head-On,Daylight
512,Not Head-On,Daylight
513,Not Head-On,Daylight
514,Not Head-On,Daylight
515,Not Head-On,Daylight
516,Not Head-On,Daylight
517,Not Head-On,Daylight
518,Not Head-On,Daylight
519,Not Head-On,Daylight
520,Not Head-On,Daylight
521,Not Head-On,Daylight
522,Not Head-On,Daylight
523,Not Head-On,Not Daylight
524,Not Head-On,Not Daylight
525,Not Head-On,Daylight
526,Not Head-On,Daylight
527,Not Head-On,Daylight
528,Not Head-On,Daylight
529,Not Head-On,Daylight
530,Not Head-On,Daylight
531,Head-on,Daylight
532,Not Head-On,Daylight
533,Not Head-On,Daylight
534,Not Head-On,Not Daylight
535,Not Head-On,Not Daylight
536,Not Head-On,Not Daylight
537,Not Head-On,Daylight
538,Not Head-On,Daylight
539,Not Head-On,Not Daylight
540,Not Head-On,Daylight
541,Not Head-On,Not Daylight
542,Not Head-On,Daylight
543,Not Head-On,Daylight
544,Not Head-On,Daylight
545,Not Head-On,Daylight
546,Not Head-On,Daylight
547,Not Head-On,Daylight
548,Not Head-On,Daylight
549,Not Head-On,Daylight
550,Not Head-On,Daylight
551,Not Head-On,Daylight
552,Head-on,Not Daylight
553,Head-on,Daylight
554,Not Head-On,Daylight
555,Not Head-On,Daylight
556,Head-on,Daylight
557,Not Head-On,Not Daylight
558,Not Head-On,Not Daylight
559,Not Head-On,Daylight
560,Head-on,Daylight
561,Not Head-On,Daylight
562,Not Head-On,Not Daylight
563,Not Head-On,Daylight
564,Head-on,Daylight
565,Not Head-On,Daylight
566,Not Head-On,Daylight
567,Head-on,Not Daylight
568,Not Head-On,Daylight
569,Not Head-On,Daylight
570,Not Head-On,Daylight
571,Not Head-On,Not Daylight
572,Not Head-On,Daylight
573,Not Head-On,Not Daylight
574,Not Head-On,Daylight
575,Not Head-On,Not Daylight
576,Not Head-On,Not Daylight
577,Not Head-On,Not Daylight
578,Not Head-On,Daylight
579,Not Head-On,Not Daylight
580,Not Head-On,Daylight
581,Not Head-On,Daylight
582,Not Head-On,Daylight
583,Not Head-On,Daylight
584,Not Head-On,Daylight
585,Head-on,Daylight
586,Not Head-On,Daylight
587,Not Head-On,Daylight
588,Not Head-On,Daylight
589,Not Head-On,Daylight
590,Not Head-On,Daylight
591,Not Head-On,Daylight
592,Not Head-On,Daylight
593,Not Head-On,Daylight
594,Not Head-On,Not Daylight
595,Not Head-On,Not Daylight
596,Not Head-On,Daylight
597,Not Head-On,Daylight
598,Not Head-On,Not Daylight
599,Not Head-On,Daylight
600,Not Head-On,Daylight
601,Not Head-On,Daylight
602,Not Head-On,Not Daylight
603,Not Head-On,Daylight
604,Not Head-On,Not Daylight
605,Head-on,Not Daylight
606,Not Head-On,Daylight
607,Not Head-On,Daylight
608,Not Head-On,Not Daylight
609,Not Head-On,Daylight
610,Not Head-On,Daylight
611,Not Head-On,Daylight
612,Not Head-On,Daylight
613,Not Head-On,Daylight
614,Not Head-On,Not Daylight
615,Not Head-On,Daylight
616,Not Head-On,Daylight
617,Not Head-On,Daylight
618,Not Head-On,Not Daylight
619,Not Head-On,Not Daylight
620,Not Head-On,Daylight
621,Not Head-On,Not Daylight
622,Not Head-On,Daylight
623,Not Head-On,Daylight
624,Not Head-On,Not Daylight
625,Not Head-On,Daylight
626,Not Head-On,Daylight
627,Not Head-On,Daylight
628,Head-on,Daylight
629,Not Head-On,Not Daylight
630,Not Head-On,Daylight
631,Not Head-On,Daylight
632,Not Head-On,Daylight
633,Not Head-On,Not Daylight
634,Not Head-On,Daylight
635,Not Head-On,Not Daylight
636,Not Head-On,Not Daylight
637,Not Head-On,Daylight
638,Head-on,Daylight
639,Not Head-On,Daylight
640,Not Head-On,Daylight
641,Not Head-On,Not Daylight
642,Not Head-On,Daylight
643,Not Head-On,Not Daylight
644,Not Head-On,Daylight
645,Not Head-On,Not Daylight
646,Not Head-On,Daylight
647,Head-on,Not Daylight
648,Not Head-On,Daylight
649,Not Head-On,Daylight
650,Not Head-On,Not Daylight
651,Not Head-On,Not Daylight
652,Not Head-On,Not Daylight
653,Not Head-On,Daylight
654,Not Head-On,Not Daylight
655,Not Head-On,Not Daylight
656,Not Head-On,Daylight
657,Not Head-On,Daylight
658,Not Head-On,Daylight
659,Not Head-On,Daylight
660,Not Head-On,Daylight
661,Head-on,Not Daylight
662,Not Head-On,Daylight
663,Not Head-On,Daylight
664,Not Head-On,Daylight
665,Not Head-On,Not Daylight
666,Not Head-On,Not Daylight
667,Not Head-On,Daylight
668,Not Head-On,Daylight
669,Not Head-On,Daylight
670,Not Head-On,Not Daylight
671,Not Head-On,Not Daylight
672,Not Head-On,Not Daylight
673,Not Head-On,Daylight
674,Not Head-On,Daylight
675,Not Head-On,Not Daylight
676,Not Head-On,Daylight
677,Not Head-On,Daylight
678,Not Head-On,Daylight
679,Not Head-On,Not Daylight
680,Not Head-On,Daylight
681,Not Head-On,Daylight
682,Not Head-On,Not Daylight
683,Not Head-On,Daylight
684,Not Head-On,Daylight
685,Not Head-On,Daylight
686,Not Head-On,Daylight
687,Head-on,Not Daylight
688,Not Head-On,Not Daylight
689,Not Head-On,Not Daylight
690,Not Head-On,Not Daylight
691,Not Head-On,Daylight
692,Not Head-On,Not Daylight
693,Not Head-On,Not Daylight
694,Not Head-On,Daylight
695,Not Head-On,Daylight
696,Not Head-On,Daylight
697,Not Head-On,Daylight
698,Not Head-On,Not Daylight
699,Not Head-On,Daylight
700,Not Head-On,Daylight
701,Head-on,Not Daylight
702,Not Head-On,Daylight
703,Not Head-On,Daylight
704,Not Head-On,Daylight
705,Not Head-On,Not Daylight
706,Not Head-On,Not Daylight
707,Head-on,Not Daylight
708,Not Head-On,Daylight
709,Not Head-On,Daylight
710,Not Head-On,Daylight
711,Head-on,Not Daylight
712,Not Head-On,Daylight
713,Not Head-On,Not Daylight
714,Not Head-On,Daylight
715,Not Head-On,Daylight
716,Not Head-On,Daylight
717,Not Head-On,Not Daylight
718,Not Head-On,Daylight
719,Not Head-On,Not Daylight
720,Not Head-On,Not Daylight
721,Not Head-On,Daylight
722,Not Head-On,Not Daylight
723,Not Head-On,Daylight
724,Not Head-On,Daylight
725,Not Head-On,Daylight
726,Not Head-On,Daylight
727,Not Head-On,Daylight
728,Not Head-On,Not Daylight
729,Not Head-On,Daylight
730,Head-on,Daylight
731,Not Head-On,Daylight
732,Not Head-On,Daylight
733,Not Head-On,Daylight
734,Not Head-On,Daylight
735,Not Head-On,Daylight
736,Not Head-On,Daylight
737,Not Head-On,Not Daylight
738,Not Head-On,Not Daylight
739,Not Head-On,Daylight
740,Not Head-On,Daylight
741,Not Head-On,Daylight
742,Not Head-On,Daylight
743,Not Head-On,Daylight
744,Not Head-On,Daylight
745,Not Head-On,Daylight
746,Head-on,Not Daylight
747,Not Head-On,Daylight
748,Not Head-On,Daylight
749,Not Head-On,Daylight
750,Not Head-On,Daylight
751,Not Head-On,Daylight
752,Not Head-On,Daylight
753,Not Head-On,Not Daylight
754,Not Head-On,Daylight
755,Not Head-On,Daylight
756,Not Head-On,Daylight
757,Not Head-On,Daylight
758,Not Head-On,Not Daylight
759,Not Head-On,Daylight
760,Not Head-On,Daylight
761,Not Head-On,Daylight
762,Not Head-On,Daylight
763,Not Head-On,Not Daylight
764,Not Head-On,Daylight
765,Not Head-On,Daylight
766,Not Head-On,Daylight
767,Not Head-On,Daylight
768,Not Head-On,Daylight
769,Not Head-On,Daylight
770,Not Head-On,Daylight
771,Not Head-On,Daylight
772,Not Head-On,Daylight
773,Not Head-On,Daylight
774,Not Head-On,Daylight
775,Not Head-On,Daylight
776,Not Head-On,Not Daylight
777,Not Head-On,Daylight
778,Not Head-On,Not Daylight
779,Not Head-On,Daylight
780,Not Head-On,Daylight
781,Not Head-On,Not Daylight
782,Not Head-On,Not Daylight
783,Not Head-On,Daylight
784,Not Head-On,Daylight
785,Not Head-On,Not Daylight
786,Not Head-On,Not Daylight
787,Not Head-On,Not Daylight
788,Not Head-On,Daylight
789,Not Head-On,Daylight
790,Not Head-On,Daylight
791,Not Head-On,Not Daylight
792,Head-on,Daylight
793,Not Head-On,Daylight
794,Not Head-On,Daylight
795,Not Head-On,Daylight
796,Not Head-On,Daylight
797,Not Head-On,Daylight
798,Not Head-On,Daylight
799,Not Head-On,Not Daylight
800,Head-on,Not Daylight
801,Not Head-On,Not Daylight
802,Not Head-On,Daylight
803,Not Head-On,Not Daylight
804,Not Head-On,Daylight
805,Not Head-On,Daylight
806,Not Head-On,Daylight
807,Not Head-On,Daylight
808,Not Head-On,Daylight
809,Not Head-On,Not Daylight
810,Not Head-On,Daylight
811,Not Head-On,Daylight
812,Not Head-On,Daylight
813,Not Head-On,Daylight
814,Not Head-On,Not Daylight
815,Not Head-On,Not Daylight
816,Head-on,Daylight
817,Not Head-On,Daylight
818,Not Head-On,Daylight
819,Not Head-On,Daylight
820,Not Head-On,Daylight
821,Not Head-On,Not Daylight
822,Not Head-On,Daylight
823,Not Head-On,Not Daylight
824,Not Head-On,Daylight
825,Not Head-On,Daylight
826,Head-on,Not Daylight
827,Head-on,Not Daylight
828,Not Head-On,Daylight
829,Not Head-On,Daylight
830,Not Head-On,Daylight
831,Not Head-On,Daylight
832,Not Head-On,Daylight
833,Not Head-On,Daylight
834,Not Head-On,Daylight
835,Not Head-On,Daylight
836,Not Head-On,Daylight
837,Not Head-On,Daylight
838,Not Head-On,Not Daylight
839,Not Head-On,Daylight
840,Not Head-On,Not Daylight
841,Not Head-On,Daylight
842,Not Head-On,Daylight
843,Not Head-On,Daylight
844,Not Head-On,Daylight
845,Not Head-On,Daylight
846,Not Head-On,Daylight
847,Head-on,Not Daylight
848,Not Head-On,Daylight
849,Not Head-On,Daylight
850,Not Head-On,Daylight
851,Not Head-On,Daylight
852,Not Head-On,Not Daylight
853,Not Head-On,Daylight
854,Not Head-On,Daylight
855,Not Head-On,Not Daylight
856,Not Head-On,Daylight
857,Not Head-On,Daylight
858,Not Head-On,Daylight
859,Not Head-On,Daylight
860,Not Head-On,Daylight
861,Not Head-On,Not Daylight
862,Not Head-On,Daylight
863,Not Head-On,Daylight
864,Not Head-On,Daylight
865,Not Head-On,Daylight
866,Not Head-On,Not Daylight
867,Not Head-On,Not Daylight
868,Not Head-On,Daylight
869,Not Head-On,Daylight
870,Not Head-On,Daylight
871,Not Head-On,Daylight
872,Not Head-On,Daylight
873,Not Head-On,Daylight
874,Not Head-On,Not Daylight
875,Not Head-On,Not Daylight
876,Not Head-On,Not Daylight
877,Not Head-On,Not Daylight
878,Not Head-On,Daylight
879,Not Head-On,Daylight
880,Not Head-On,Daylight
881,Not Head-On,Daylight
882,Not Head-On,Daylight
883,Not Head-On,Daylight
884,Not Head-On,Not Daylight
885,Not Head-On,Daylight
886,Not Head-On,Daylight
887,Not Head-On,Not Daylight
888,Not Head-On,Daylight
889,Not Head-On,Daylight
890,Not Head-On,Not Daylight
891,Not Head-On,Daylight
892,Not Head-On,Not Daylight
893,Not Head-On,Daylight
894,Not Head-On,Daylight
895,Not Head-On,Daylight
896,Not Head-On,Not Daylight
897,Not Head-On,Daylight
898,Not Head-On,Not Daylight
899,Not Head-On,Daylight
900,Not Head-On,Daylight
901,Not Head-On,Daylight
902,Not Head-On,Not Daylight
903,Not Head-On,Daylight
904,Not Head-On,Daylight
905,Not Head-On,Daylight
906,Not Head-On,Daylight
907,Not Head-On,Daylight
908,Not Head-On,Daylight
909,Not Head-On,Not Daylight
910,Not Head-On,Daylight
911,Not Head-On,Not Daylight
912,Not Head-On,Daylight
913,Not Head-On,Daylight
914,Not Head-On,Daylight
915,Not Head-On,Daylight
916,Not Head-On,Not Daylight
917,Not Head-On,Not Daylight
918,Not Head-On,Daylight
919,Not Head-On,Not Daylight
920,Not Head-On,Daylight
921,Not Head-On,Daylight
922,Not Head-On,Not Daylight
923,Not Head-On,Daylight
924,Not Head-On,Daylight
925,Not Head-On,Daylight
926,Not Head-On,Not Daylight
927,Not Head-On,Daylight
928,Not Head-On,Daylight
929,Not Head-On,Daylight
930,Not Head-On,Daylight
931,Not Head-On,Daylight
932,Not Head-On,Daylight
933,Not Head-On,Daylight
934,Not Head-On,Daylight
935,Not Head-On,Daylight
936,Head-on,Daylight
937,Not Head-On,Daylight
938,Not Head-On,Not Daylight
939,Not Head-On,Daylight
940,Not Head-On,Daylight
941,Not Head-On,Daylight
942,Not Head-On,Not Daylight
943,Not Head-On,Not Daylight
944,Not Head-On,Daylight
945,Head-on,Daylight
946,Not Head-On,Daylight
947,Head-on,Not Daylight
948,Not Head-On,Daylight
949,Not Head-On,Daylight
950,Not Head-On,Not Daylight
951,Not Head-On,Daylight
952,Not Head-On,Not Daylight
953,Not Head-On,Daylight
954,Not Head-On,Daylight
955,Not Head-On,Daylight
956,Not Head-On,Daylight
957,Not Head-On,Daylight
958,Not Head-On,Not Daylight
959,Not Head-On,Not Daylight
960,Not Head-On,Daylight
961,Not Head-On,Daylight
962,Not Head-On,Not Daylight
963,Not Head-On,Daylight
